Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,chro,domain
63,Tb427_080064700,-4.275215028529848,0.7835346931633577,6.0984283059371975e-06,hypothetical protein  conserved,Chr8_core_Tb427v10,
64,Tb427_000075100,-4.261619411542597,4.640378191897361,6.685323728750726e-05,unspecified product,Chr10_3B_Tb427v10,
65,Tb427_040035200,-4.261162249068083,-0.6909654285315942,2.3012657566642365e-05,Trypanosomal VSG domain containing protein  putative,Chr4_core_Tb427v10,VSG_B
66,Tb427_000682200,-4.231876219773054,-0.837831381305861,9.821234998305827e-05,Retrotransposon hot spot protein  putative,unitig_1911_Tb427v10,RHSP superfamily
67,Tb427_080005100,-4.2186958824937415,4.523543972107926,3.4381182117493275e-05,hypothetical protein  conserved,Chr8_core_Tb427v10,
68,Tb427_000727200,-4.168807054710322,-0.5894275979604001,7.413428454554108e-05,RNA polymerase Rpb2  domain 6  putative,unitig_2175_Tb427v10,RNA_pol_Rpb2_6
69,Tb427_000023800,-4.160013491951335,-0.4535855684932584,3.460174555732557e-05,BT1 family  putative,BES7_Tb427v10,fbt
70,Tb427_000646800,-4.0594765062216025,-0.4292588516677489,1.6786059192883676e-05,Retrotransposon hot spot protein  putative,unitig_1840_Tb427v10,RHSP superfamily
71,Tb427_000702200,-4.058308033284422,0.5968943194996242,1.0030227048093094e-05,hypothetical protein  conserved,unitig_2071_Tb427v10,
72,Tb427_000008200,-4.039692480352148,0.13416203949900593,1.1246137273218277e-05,BT1 family  putative,BES13_Tb427v10,fbt
73,Tb427_000702300,-4.035191305659533,0.26377510529058085,7.726958221639121e-05,hypothetical protein  conserved,unitig_2071_Tb427v10,
74,Tb427_000726700,-4.0152008127812016,-0.4630679998406237,5.322847145820896e-05,RNA polymerase Rpb2  domain 6  putative,unitig_2174_Tb427v10,RNA_pol_Rpb2_6
75,Tb427_000010800,-4.000727771054452,0.5217978050147075,4.790735946936015e-05,BT1 family  putative,BES15_Tb427v10,fbt
76,Tb427_110072300,-3.9902026161696256,-0.7125955256059975,7.484310662394768e-05,hypothetical protein  conserved,Chr11_core_Tb427v10,
77,Tb427_000831200,-3.9830848959631626,0.7527097218294005,6.1239872664557625e-06,hypothetical protein  conserved,unitig_320_Tb427v10,PTZ00121 superfamily
78,Tb427_000744200,-3.9744888454983514,-0.07562458657173486,2.2513547123589208e-05,Retrotransposon hot spot protein  putative,unitig_2228_Tb427v10,RHSP superfamily
79,Tb427_110052600,-3.9390552979196394,-0.7050650022448874,2.580310174217912e-05,Retrotransposon hot spot protein  putative,Chr11_core_Tb427v10,RHSP superfamily
80,Tb427_000369300,-3.922876422396518,-0.814577828828345,0.0007458738275450455,Reverse transcriptase (RNA-dependent DNA polymerase)  putative,Chr5_3B_Tb427v10,RT_nLTR_like; Exo_endo_phos_2
81,Tb427_000663300,-3.8667459165632585,0.9382712560799876,5.294103064612046e-06,hypothetical protein  conserved,unitig_1878_Tb427v10,RT_like superfamily
82,Tb427_000662000,-3.8493716589673483,-0.6452400286356358,4.177527086025399e-05,Retrotransposon hot spot protein  putative,unitig_1863_Tb427v10,RHSP superfamily
83,Tb427_000106600,-3.847374293793549,4.083057077315631,3.6012980674381964e-06,Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative,Chr10_5A_Tb427v10,Trypan_glycop_C
84,Tb427_000731800,-3.8455178480690666,2.4863151924425804,1.3809718306618287e-05,unspecified product,unitig_2198_Tb427v10,
85,Tb427_090086800,-3.819056389992877,0.31518644423818826,2.44131297130872e-05,hypothetical protein  conserved,Chr9_core_Tb427v10,
86,Tb427_000664700,-3.807834133838544,0.8113372985409237,5.437912498184006e-06,hypothetical protein  conserved,unitig_1879_Tb427v10,RT_like superfamily
87,Tb427_000348400,-3.788784902767176,0.047396353628873865,1.648552424825162e-05,Retrotransposon hot spot protein  putative,Chr4_5B_Tb427v10,RHSP superfamily
88,Tb427_000682700,-3.765703313019412,-0.4328325704177245,2.601269524867204e-05,Retrotransposon hot spot protein  putative,unitig_1912_Tb427v10,RHSP superfamily
89,Tb427_000083200,-3.756520506029116,0.9178830386608288,5.7233316065173524e-05,unspecified product,Chr10_3B_Tb427v10,
90,Tb427_000647600,-3.756397944444528,-0.4266901044339905,6.341858632744361e-05,Retrotransposon hot spot protein  putative,unitig_1841_Tb427v10,RHSP superfamily
91,Tb427_000057800,-3.742421867258348,-0.7871137223223347,7.406338347390791e-05,RNA polymerase Rpb2  domain 6  putative,Chr10_3A_Tb427v10,RNA_pol_B_RPB2 superfamily
92,Tb427_000670900,-3.7387200704128896,-0.9731649241314496,0.0003327256529060975,Retrotransposon hot spot protein  putative,unitig_1897_Tb427v10,RHSP superfamily
93,Tb427_000742300,-3.737157537080794,-0.3782634180714578,2.977954449624029e-05,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative,unitig_2223_Tb427v10,RNA_pol_Rpb2_4; RNA_pol_Rpb2_6
94,Tb427_000131900,-3.724066417173456,-0.415615879637714,0.0002613287091873734,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr11_3A_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR; Exo_endo_phos_2
95,Tb427_000831100,-3.721900559948366,0.3374693266984953,0.00012509265594663874,hypothetical protein  conserved,unitig_320_Tb427v10,
96,Tb427_070017900,-3.684383139389773,1.437479808902705,5.34798141229084e-06,hypothetical protein,Chr7_core_Tb427v10,
97,Tb427_000110300,-3.6694435116445208,4.930378873934962,7.476815772856587e-05,unspecified product,Chr11_3A_Tb427v10,
98,Tb427_050028800,-3.66661236892034,8.615566825101439,9.60449734554182e-08,META domain containing protein  putative,Chr5_core_Tb427v10,META
99,Tb427_000088700,-3.666269713973397,-0.17121191062538088,2.671983707472106e-05,Reverse transcriptase (RNA-dependent DNA polymerase)/Zinc finger  C2H2 type  putative,Chr10_3B_Tb427v10,RT_nLTR_like; RNase_H_like superfamily
100,Tb427_000622000,-3.6619285290241987,3.736816213102201,0.00014737149168430382,unspecified product,Chr9_5A_Tb427v10,
101,Tb427_000671700,-3.6407127114852784,-0.8332717432607682,9.738536138988914e-05,Retrotransposon hot spot protein  putative,unitig_1897_Tb427v10,RHSP superfamily
102,Tb427_000811300,-3.6275706937106933,5.447536445865342,9.037815938917156e-05,unspecified product,unitig_288_Tb427v10,
103,Tb427_000730100,-3.6124813098970256,6.560200796472085,0.00010907740224233173,unspecified product,unitig_2196_Tb427v10,
104,Tb427_100171800,-3.6085820062389655,5.324891497096641,7.1901551338385e-05,unspecified product,Chr10_core_Tb427v10,
105,Tb427_060008900,-3.6083304454212053,0.2407848999460487,3.6802613429564615e-05,hypothetical protein  conserved,Chr6_core_Tb427v10,
106,Tb427_000688300,-3.5724967562465886,-0.7077806792821313,7.218957574144403e-05,Retrotransposon hot spot protein  putative,unitig_1928_Tb427v10,RHSP superfamily
107,Tb427_000727700,-3.5709460800758874,0.42635421852679695,1.1502271027427002e-05,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative,unitig_2175_Tb427v10,RNA_pol_Rpb2_4; RNA_pol_B_RPB2 superfamily
108,Tb427_020033200,-3.5644031368827327,-0.6222617685416382,3.479526385235291e-05,hypothetical protein  conserved,Chr2_core_Tb427v10,RT_like superfamily; Exo_endo_phos_2
109,Tb427_000650300,-3.555871548762458,-0.5671319682085847,0.00018284721397165588,Retrotransposon hot spot protein  putative,unitig_1843_Tb427v10,RHSP superfamily
110,Tb427_000747100,-3.5544813850392654,-0.15452225159634372,2.7527502668201696e-05,hypothetical protein  conserved,unitig_223_Tb427v10,RT_like superfamily
111,Tb427_000676200,-3.5506013465957147,-0.9738023339163264,8.180088039590492e-05,Retrotransposon hot spot protein  putative,unitig_1903_Tb427v10,RHSP superfamily
112,Tb427_000672300,-3.547601804426602,0.22090148329711765,2.250192459612812e-05,RNA polymerase Rpb2  domain 4  putative,unitig_1898_Tb427v10,
113,Tb427_000657000,-3.53824033403346,-0.3938650166925979,4.6192130057106206e-05,RNA polymerase Rpb2  domain 6  putative,unitig_1853_Tb427v10,RNA_pol_B_RPB2 superfamily
114,Tb427_000682300,-3.5294324914857755,-0.4850117898495665,0.00016398239257028709,Retrotransposon hot spot protein  putative,unitig_1912_Tb427v10,RHSP superfamily
115,Tb427_090038000,-3.5248627142426763,-0.7285380195561746,0.0006230034456643767,Endonuclease-reverse transcriptase  putative,Chr9_core_Tb427v10,EEP superfamily
116,Tb427_000172900,-3.5192715282077254,-0.8563847148518752,0.00033542688145949084,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr11_3B_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR
117,Tb427_000671800,-3.4959450567139867,-0.15294646438069273,2.533590182271823e-05,RNA polymerase Rpb2  domain 4  putative,unitig_1897_Tb427v10,PRK08565 superfamily
118,Tb427_000164100,-3.4899190282292643,-0.9244651744639628,6.481112978435548e-05,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr11_3B_Tb427v10,RT_nLTR_like; RNase_H_like superfamily
119,Tb427_000546300,-3.4660373378034772,1.148840147241219,6.097047229758004e-06,Reverse transcriptase (RNA-dependent DNA polymerase)/Zinc finger  C2H2 type  putative,Chr8_5B_Tb427v10,RT_nLTR_like; RNase_H_like superfamily
120,Tb427_100133200,-3.4645550461611454,-0.5761663659551163,0.0007127652715952957,hypothetical protein  conserved,Chr10_core_Tb427v10,
121,Tb427_090086700,-3.4412459858933198,0.8228711636206459,0.00011028100406321196,Reverse transcriptase (RNA-dependent DNA polymerase)  putative,Chr9_core_Tb427v10,RT_nLTR_like
122,Tb427_070012800,-3.439734807828634,-0.4853951780634066,7.476815772856587e-05,hypothetical protein,Chr7_core_Tb427v10,
123,Tb427_000770600,-3.432935849177115,7.6063012090002635,0.00011128115763871848,unspecified product,unitig_2455_Tb427v10,
124,Tb427_100133100,-3.420839044752225,-0.8588325481611124,6.75107201746126e-05,hypothetical protein  conserved,Chr10_core_Tb427v10,
125,Tb427_000499000,-3.419195817604562,-0.9736236191239894,9.054258885651104e-05,Retrotransposon hot spot protein  putative,Chr8_3A_Tb427v10,RHSP superfamily
126,Tb427_000731300,-3.416031583940549,0.9756805691200949,6.10056955818378e-06,hypothetical protein  conserved,unitig_2198_Tb427v10,RT_like superfamily
127,Tb427_000671200,-3.4116133077055784,0.0488352185356759,2.681872449093588e-05,Retrotransposon hot spot protein  putative,unitig_1897_Tb427v10,RHSP superfamily
128,Tb427_000813300,-3.4110651866225767,-0.8776061833147081,7.585407838068844e-05,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,unitig_2996_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR
129,Tb427_000544800,-3.392874771196352,-0.4355213063118702,0.00017299589753734626,Protein of unknown function (DUF1181)  putative,Chr8_5B_Tb427v10,PTZ00204
130,Tb427_000753200,-3.3693139647642516,7.276204096603697,0.00010340826463956776,unspecified product,unitig_2313_Tb427v10,
131,Tb427_000772200,-3.366044430615547,6.835316216386464,8.687080231775279e-05,unspecified product,unitig_2457_Tb427v10,
132,Tb427_110019500,-3.362542370463757,3.9394581065292917,1.014883436515061e-06,hypothetical protein  conserved,Chr11_core_Tb427v10,internalin_A superfamily; internalin_A superfamily; internalin_A superfamily; internalin_H superfamily; internalin_H superfamily
133,Tb427_000752400,-3.351663047749008,7.291230462000481,0.00011706110099084563,unspecified product,unitig_2312_Tb427v10,
134,Tb427_000663800,-3.3416322201974853,7.0932018325348745,8.04721338228643e-05,unspecified product,unitig_1878_Tb427v10,
135,Tb427_020007100,-3.3386343351261343,-0.175811118240789,9.075182755469938e-05,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr2_core_Tb427v10,Rnase_HI_RT_non_LTR; RT_like superfamily
136,Tb427_000751700,-3.3319310012101795,7.290281654543427,0.00010430619100275902,unspecified product,unitig_2311_Tb427v10,
137,Tb427_000779800,-3.3226425184783306,0.4117012896365237,4.846273118345332e-05,RNA polymerase Rpb2  domain 4  putative,unitig_2481_Tb427v10,PRK08565 superfamily
138,Tb427_000099800,-3.3194756164819204,-0.9480909552459804,8.550023614994868e-05,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)  putative,Chr10_3B_Tb427v10,RT_nLTR_like; EEP superfamily
139,Tb427_000131400,-3.3180850921063163,-0.6657626295200277,0.0010517806179187194,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr11_3A_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR; EEP superfamily
140,Tb427_000668200,-3.3180193828048927,7.659428743015763,0.0001304956618010335,unspecified product,unitig_1884_Tb427v10,
141,Tb427_050008600,-3.317140529461589,8.855255988200954,1.6432803283927095e-07,BNR repeat-like domain containing protein  putative,Chr5_core_Tb427v10,PTZ00334 superfamily
142,Tb427_000665200,-3.316238448672628,7.637119548297816,0.00010849225538800459,unspecified product,unitig_1879_Tb427v10,
143,Tb427_000144800,-3.3044131678790154,7.217101522728642,0.0001251553617655553,unspecified product,Chr11_3B_Tb427v10,
144,Tb427_000724300,-3.290586213314835,-0.8801331797887679,7.521775882314785e-05,hypothetical protein  conserved,unitig_2170_Tb427v10,
145,Tb427_030036500,-3.285443703075197,7.697767675867005,0.0001490038031919242,unspecified product,Chr3_core_Tb427v10,
146,Tb427_000671500,-3.2789341770611644,-0.7660175825316754,0.00012745428976074206,Retrotransposon hot spot protein  putative,unitig_1897_Tb427v10,RHSP superfamily
147,Tb427_000666400,-3.2774119932810915,7.531326023593987,0.00011484070689320188,unspecified product,unitig_1881_Tb427v10,
148,Tb427_000773700,-3.2755189034573413,-0.4924871213587126,5.998681019400721e-05,hypothetical protein  conserved,unitig_2466_Tb427v10,internalin_A superfamily; internalin_A superfamily; AMN1 superfamily; internalin_A superfamily
149,Tb427_000730800,-3.270191929747389,7.674906906895095,0.00011669416735873596,unspecified product,unitig_2198_Tb427v10,
150,Tb427_050028000,-3.2587051623487344,-0.5684264248685745,8.985007634600958e-05,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr5_core_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR
151,Tb427_010026400,-3.258283238842852,1.1620665990211387,5.0985774923576677e-05,hypothetical protein  conserved,Chr1_core_Tb427v10,
152,Tb427_000043300,-3.2581364171536897,-0.7891036513182721,0.00011994019296499604,Reverse transcriptase (RNA-dependent DNA polymerase)  putative,Chr10_3A_Tb427v10,RT_like superfamily; RNase_H_like superfamily
153,Tb427_000425900,-3.257559591083872,-0.926289169002982,0.002998512264889196,Reverse transcriptase (RNA-dependent DNA polymerase)  putative,Chr6_3B_Tb427v10,RT_nLTR_like
154,Tb427_000668100,-3.2498265999225118,3.0990853658259536,2.098428330338e-05,unspecified product,unitig_1884_Tb427v10,
155,Tb427_000657200,-3.2482135370265883,-0.9683793880173079,0.00047339761970352615,RNA polymerase Rpb2  domain 4  putative,unitig_1857_Tb427v10,RNA_pol_Rpb2_4
156,Tb427_000771300,-3.240278612123633,7.743349170757417,0.00014127946229253313,unspecified product,unitig_2456_Tb427v10,
157,Tb427_000207200,-3.236993435787145,-0.9501071566921984,0.0014952124678751213,hypothetical protein,Chr1_3A_Tb427v10,
158,Tb427_000110400,-3.2320369742355965,3.720782552207552,0.00022950858489654638,hypothetical protein  conserved,Chr11_3A_Tb427v10,
159,Tb427_100039100,-3.2203978284740877,-0.4609746401530601,0.00010608915712008289,hypothetical protein  conserved,Chr10_core_Tb427v10,
160,Tb427_000257500,-3.2181517577406873,-0.6461801746315765,0.00029709894400209983,hypothetical protein  conserved,Chr1_3B_Tb427v10,
161,Tb427_000706800,-3.215588180868948,-0.2904642614503042,3.975237824694253e-05,Endonuclease-reverse transcriptase  putative,unitig_2085_Tb427v10,EEP superfamily
162,Tb427_000672200,-3.211393057341083,-0.5902656582257745,6.195615024321598e-05,Retrotransposon hot spot protein  putative,unitig_1898_Tb427v10,RHSP superfamily
163,Tb427_030036100,-3.2006824168715298,3.8933589980855823,0.00010245282846290749,unspecified product,Chr3_core_Tb427v10,
164,Tb427_010026000,-3.198130886970858,7.5796068093642255,0.00010347166193912718,unspecified product,Chr1_core_Tb427v10,
165,Tb427_020005000,-3.1972147570456406,1.7589242130749776,3.3634061629916308e-06,hypothetical protein,Chr2_core_Tb427v10,
166,Tb427_000662400,-3.1942907880791767,-0.5843605597874457,8.506518699932057e-05,Retrotransposon hot spot protein  putative,unitig_1863_Tb427v10,RHSP superfamily
167,Tb427_100013400,-3.1929396260907463,0.3335093299415416,4.301493784296807e-05,hypothetical protein,Chr10_core_Tb427v10,
168,Tb427_000288500,-3.1863474583052014,-0.15219764786572246,4.140536642417495e-05,hypothetical protein  conserved,Chr3_3A_Tb427v10,internalin_A superfamily
169,Tb427_030035200,-3.1840512964176386,-0.11956045140549312,3.609013711577636e-05,hypothetical protein  conserved,Chr3_core_Tb427v10,
170,Tb427_000667400,-3.182588041695164,7.630850124946429,0.0001694984534775622,unspecified product,unitig_1881_Tb427v10,
171,Tb427_000634400,-3.1790716474926204,-0.2575910174072961,4.3693954363495285e-05,BT1 family  putative,Tb427VSG-775_unitig_Tb427v10,BT1 superfamily
172,Tb427_000777400,-3.178331832949872,-0.6224901569304253,7.726958221639121e-05,Retrotransposon hot spot protein  putative,unitig_2477_Tb427v10,RHSP superfamily
173,Tb427_000667900,-3.1750598072977207,5.97666201214014,1.0467639436446023e-05,unspecified product,unitig_1884_Tb427v10,
174,Tb427_000331600,-3.1691209569229,-0.7255127134245271,0.0003644280343879116,hypothetical protein  conserved,Chr4_3A_Tb427v10,
175,Tb427_070066200,-3.165651173447786,0.7579058641116525,0.0006017742954421932,hypothetical protein  conserved,Chr7_core_Tb427v10,
176,Tb427_000683000,-3.157056349199217,-0.8546001258802046,0.00017580902315712514,Retrotransposon hot spot protein  putative,unitig_1912_Tb427v10,RHSP superfamily
