Gene_acc,Gene_id,BSF1,BSF2,PCF1,PCF2,Desc
52,Tb427_100108800,51,62,1342,815,Trypanosome variant surface glycoprotein (A-type)  putative
53,Tb427_100108900,74,61,1678,1053,Trypanosome variant surface glycoprotein (A-type)  putative
54,Tb427_100109400,32,24,356,400,hypothetical protein  conserved
55,Tb427_000726800,5,8,21,16,Retrotransposon hot spot protein  putative
56,Tb427_000019600,7,8,27,17,Adenylate and Guanylate cyclase catalytic domain containing protein  putative
57,Tb427_000727000,9,18,39,38,Retrotransposon hot spot protein  putative
58,Tb427_000621900,176,128,2553,1314,unspecified product
59,Tb427_100077800,2155,1679,32729,31512,Cysteine-rich acidic integral membrane protein precursor  putative
60,Tb427_000012500,10,18,70,59,BT1 family  putative
61,Tb427_000773300,16,6,22,16,Retrotransposon hot spot protein  putative
62,Tb427_030034900,5,5,29,15,Endonuclease-reverse transcriptase  putative
63,Tb427_080064700,10,13,89,83,hypothetical protein  conserved
64,Tb427_000075100,97,78,2216,914,unspecified product
65,Tb427_040035200,9,8,20,27,Trypanosomal VSG domain containing protein  putative
66,Tb427_000682200,7,9,15,26,Retrotransposon hot spot protein  putative
67,Tb427_080005100,195,87,1385,1325,hypothetical protein  conserved
68,Tb427_000727200,16,10,19,24,RNA polymerase Rpb2  domain 6  putative
69,Tb427_000023800,9,8,34,26,BT1 family  putative
70,Tb427_000646800,15,15,21,27,Retrotransposon hot spot protein  putative
71,Tb427_000702200,20,14,70,65,hypothetical protein  conserved
72,Tb427_000008200,17,9,54,40,BT1 family  putative
73,Tb427_000702300,12,18,59,43,hypothetical protein  conserved
74,Tb427_000726700,17,12,26,21,RNA polymerase Rpb2  domain 6  putative
75,Tb427_000010800,24,7,73,56,BT1 family  putative
76,Tb427_110072300,7,6,33,17,hypothetical protein  conserved
77,Tb427_000831200,22,20,81,66,hypothetical protein  conserved
78,Tb427_000744200,20,15,36,31,Retrotransposon hot spot protein  putative
79,Tb427_110052600,13,13,17,20,Retrotransposon hot spot protein  putative
80,Tb427_000369300,6,12,16,24,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
81,Tb427_000663300,26,25,90,75,hypothetical protein  conserved
82,Tb427_000662000,12,15,19,20,Retrotransposon hot spot protein  putative
83,Tb427_000106600,77,75,790,1262,Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative
84,Tb427_000731800,30,26,386,234,unspecified product
85,Tb427_090086800,19,14,61,43,hypothetical protein  conserved
86,Tb427_000664700,22,25,78,72,hypothetical protein  conserved
87,Tb427_000348400,19,16,34,43,Retrotransposon hot spot protein  putative
88,Tb427_000682700,13,11,27,27,Retrotransposon hot spot protein  putative
89,Tb427_000083200,13,11,126,65,unspecified product
90,Tb427_000647600,18,15,29,16,Retrotransposon hot spot protein  putative
91,Tb427_000057800,16,11,17,15,RNA polymerase Rpb2  domain 6  putative
92,Tb427_000670900,13,8,10,20,Retrotransposon hot spot protein  putative
93,Tb427_000742300,15,18,24,24,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
94,Tb427_000131900,12,14,19,34,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
95,Tb427_000831100,14,25,46,54,hypothetical protein  conserved
96,Tb427_070017900,27,35,126,123,hypothetical protein
97,Tb427_000110300,163,111,2573,1210,unspecified product
98,Tb427_050028800,687,711,28930,28568,META domain containing protein  putative
99,Tb427_000088700,18,13,39,25,Reverse transcriptase (RNA-dependent DNA polymerase)/Zinc finger  C2H2 type  putative
100,Tb427_000622000,72,39,1054,530,unspecified product
101,Tb427_000671700,11,11,22,13,Retrotransposon hot spot protein  putative
102,Tb427_000811300,247,174,3757,1713,unspecified product
103,Tb427_000730100,456,397,8558,3749,unspecified product
104,Tb427_100171800,221,169,3404,1594,unspecified product
105,Tb427_060008900,15,11,59,45,hypothetical protein  conserved
106,Tb427_000688300,12,9,26,16,Retrotransposon hot spot protein  putative
107,Tb427_000727700,22,25,49,52,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
108,Tb427_020033200,16,17,17,17,hypothetical protein  conserved
109,Tb427_000650300,20,12,18,20,Retrotransposon hot spot protein  putative
110,Tb427_000747100,18,18,34,26,hypothetical protein  conserved
111,Tb427_000676200,11,8,19,13,Retrotransposon hot spot protein  putative
112,Tb427_000672300,21,23,51,32,RNA polymerase Rpb2  domain 4  putative
113,Tb427_000657000,15,19,21,25,RNA polymerase Rpb2  domain 6  putative
114,Tb427_000682300,14,8,23,30,Retrotransposon hot spot protein  putative
115,Tb427_090038000,6,14,26,16,Endonuclease-reverse transcriptase  putative
116,Tb427_000172900,14,8,10,24,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
117,Tb427_000671800,18,21,28,29,RNA polymerase Rpb2  domain 4  putative
118,Tb427_000164100,15,7,16,15,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
119,Tb427_000546300,35,38,100,77,Reverse transcriptase (RNA-dependent DNA polymerase)/Zinc finger  C2H2 type  putative
120,Tb427_100133200,5,12,29,24,hypothetical protein  conserved
121,Tb427_090086700,23,31,83,61,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
122,Tb427_070012800,11,9,35,20,hypothetical protein
123,Tb427_000770600,930,853,17938,7901,unspecified product
124,Tb427_100133100,8,9,21,18,hypothetical protein  conserved
125,Tb427_000499000,13,7,13,18,Retrotransposon hot spot protein  putative
126,Tb427_000731300,34,29,80,78,hypothetical protein  conserved
127,Tb427_000671200,17,19,44,32,Retrotransposon hot spot protein  putative
128,Tb427_000813300,13,10,17,15,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
129,Tb427_000544800,12,7,36,23,Protein of unknown function (DUF1181)  putative
130,Tb427_000753200,817,641,14039,6355,unspecified product
131,Tb427_000772200,570,548,10110,4719,unspecified product
132,Tb427_110019500,216,197,783,650,hypothetical protein  conserved
133,Tb427_000752400,804,690,14286,6277,unspecified product
134,Tb427_000663800,711,621,12099,5730,unspecified product
135,Tb427_020007100,17,7,40,31,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
136,Tb427_000751700,818,690,14161,6366,unspecified product
137,Tb427_000779800,22,31,43,50,RNA polymerase Rpb2  domain 4  putative
138,Tb427_000099800,13,9,15,15,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)  putative
139,Tb427_000131400,12,14,13,26,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
140,Tb427_000668200,1082,847,18313,8379,unspecified product
141,Tb427_050008600,1273,1442,29292,36829,BNR repeat-like domain containing protein  putative
142,Tb427_000665200,1014,901,18004,8237,unspecified product
143,Tb427_000144800,777,695,13491,5918,unspecified product
144,Tb427_000724300,10,9,19,17,hypothetical protein  conserved
145,Tb427_030036500,1131,876,18779,8595,unspecified product
146,Tb427_000671500,14,13,16,17,Retrotransposon hot spot protein  putative
147,Tb427_000666400,984,845,16733,7520,unspecified product
148,Tb427_000773700,17,20,18,19,hypothetical protein  conserved
149,Tb427_000730800,1088,909,18354,8544,unspecified product
150,Tb427_050028000,17,13,18,22,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
151,Tb427_010026400,20,29,115,91,hypothetical protein  conserved
152,Tb427_000043300,13,11,17,18,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
153,Tb427_000425900,8,12,8,25,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
154,Tb427_000668100,37,39,601,384,unspecified product
155,Tb427_000657200,12,16,9,14,RNA polymerase Rpb2  domain 4  putative
156,Tb427_000771300,1116,987,19498,8695,unspecified product
157,Tb427_000207200,14,5,16,17,hypothetical protein
158,Tb427_000110400,72,46,1079,473,hypothetical protein  conserved
159,Tb427_100039100,18,14,27,17,hypothetical protein  conserved
160,Tb427_000257500,10,15,24,17,hypothetical protein  conserved
161,Tb427_000706800,14,11,31,31,Endonuclease-reverse transcriptase  putative
162,Tb427_000672200,13,11,25,20,Retrotransposon hot spot protein  putative
163,Tb427_030036100,67,62,1207,562,unspecified product
164,Tb427_010026000,1018,918,17118,7897,unspecified product
165,Tb427_020005000,56,54,143,134,hypothetical protein
166,Tb427_000662400,17,17,14,21,Retrotransposon hot spot protein  putative
167,Tb427_100013400,15,17,55,52,hypothetical protein
168,Tb427_000288500,21,19,30,26,hypothetical protein  conserved
169,Tb427_030035200,14,14,33,38,hypothetical protein  conserved
170,Tb427_000667400,1123,906,17878,8008,unspecified product
171,Tb427_000634400,17,13,31,28,BT1 family  putative
172,Tb427_000777400,16,17,14,20,Retrotransposon hot spot protein  putative
173,Tb427_000667900,343,271,4693,3368,unspecified product
174,Tb427_000331600,10,15,22,15,hypothetical protein  conserved
175,Tb427_070066200,13,26,78,73,hypothetical protein  conserved
176,Tb427_000683000,13,11,15,17,Retrotransposon hot spot protein  putative
177,Tb427_030035900,648,502,10702,4862,unspecified product
178,Tb427_010016900,543,441,2726,2578,hypothetical protein  conserved
179,Tb427_000724200,35,37,44,44,Leucine Rich repeat  putative
180,Tb427_000606300,12,16,15,19,Reverse transcriptase (RNA-dependent DNA polymerase)/Zinc finger  C2H2 type  putative
181,Tb427_000134800,23,23,34,31,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
182,Tb427_000770900,31,31,455,222,unspecified product
183,Tb427_000726300,32,19,45,43,Retrotransposon hot spot protein  putative
184,Tb427_000775700,1140,945,17908,8231,unspecified product
185,Tb427_000728200,9,13,16,13,RNase H  putative
186,Tb427_100171700,35,27,414,252,unspecified product
187,Tb427_000747500,433,342,6594,3066,unspecified product
188,Tb427_100134900,66,66,164,174,hypothetical protein
189,Tb427_000730700,57,27,645,392,unspecified product
190,Tb427_000495900,33,31,68,56,RNA polymerase Rpb2  domain 6  putative
191,Tb427_030037000,42,51,103,106,hypothetical protein  conserved
192,Tb427_020025800,41,41,335,365,hypothetical protein  conserved
193,Tb427_000731700,53,33,617,397,unspecified product
194,Tb427_000551800,18,11,16,14,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
195,Tb427_000635800,20,22,29,32,Retrotransposon hot spot protein  putative
196,Tb427_000774500,18,29,21,34,Retrotransposon hot spot protein  putative
197,Tb427_070075700,32,37,69,65,hypothetical protein  conserved
198,Tb427_000771600,42,45,622,407,unspecified product
199,Tb427_000751600,41,38,525,351,unspecified product
200,Tb427_070066400,17,24,74,96,hypothetical protein  conserved
201,Tb427_000725300,12,11,19,20,Retrotransposon hot spot protein  putative
202,Tb427_000757400,28,30,54,47,hypothetical protein
203,Tb427_000753100,41,34,499,301,unspecified product
204,Tb427_000385900,9,13,11,18,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
205,Tb427_100130200,12,13,38,32,hypothetical protein  conserved
206,Tb427_000081900,22,17,29,20,Reverse transcriptase (RNA-dependent DNA polymerase)/Zinc finger  C2H2 type  putative
207,Tb427_000664500,249,256,4080,2780,unspecified product
208,Tb427_000828800,11,11,21,15,hypothetical protein  conserved
209,Tb427_000665700,26,38,67,50,hypothetical protein  conserved
210,Tb427_000707500,17,9,28,25,Retrotransposon hot spot protein  putative
211,Tb427_000784100,15,17,32,22,Protein of unknown function (DUF2974)  putative
212,Tb427_000741900,21,20,28,29,Retrotransposon hot spot protein  putative
213,Tb427_000772600,52,43,634,474,unspecified product
214,Tb427_000665100,55,35,571,410,unspecified product
215,Tb427_000708800,14,13,14,25,RNA polymerase Rpb2  domain 6  putative
216,Tb427_000364300,13,10,12,16,hypothetical protein  conserved
217,Tb427_100169700,35,26,44,63,hypothetical protein  conserved
218,Tb427_000688500,45,53,89,90,RNA polymerase Rpb2  domain 4  putative
219,Tb427_000820300,10,10,17,21,Protein of unknown function (DUF1181)  putative
220,Tb427_000730000,56,53,724,584,unspecified product
221,Tb427_000794300,14,10,15,13,Retrotransposon hot spot protein  putative
222,Tb427_020008000,222,229,1465,1628,hypothetical protein  conserved
223,Tb427_110115600,19,18,48,63,unspecified product
224,Tb427_000746400,26,20,29,39,Adenylate and Guanylate cyclase catalytic domain containing protein  putative
225,Tb427_000240900,23,19,31,31,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
226,Tb427_000348300,33,34,53,52,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
227,Tb427_000098700,32,32,29,32,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
228,Tb427_080020400,605,580,1478,1504,hypothetical protein  conserved
229,Tb427_000803800,15,22,17,18,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
230,Tb427_000790700,13,11,32,19,Protein of unknown function (DUF1181)  putative
231,Tb427_000715200,10,13,15,19,Endonuclease-reverse transcriptase  putative
232,Tb427_000707200,26,30,35,37,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
233,Tb427_000269700,10,14,25,22,hypothetical protein  conserved
234,Tb427_000758600,8,14,14,14,hypothetical protein  conserved
235,Tb427_000661900,44,43,75,62,RNA polymerase Rpb2  domain 4  putative
236,Tb427_100166400,72,46,126,129,unspecified product
237,Tb427_030035800,49,52,645,425,unspecified product
238,Tb427_000742100,27,25,28,32,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
239,Tb427_100047100,456,425,6978,7466,Ubiquinol-cytochrome C reductase complex 14kD subunit  putative
240,Tb427_000688600,24,21,30,30,Retrotransposon hot spot protein  putative
241,Tb427_040054300,13,16,34,26,hypothetical protein  conserved
242,Tb427_110116400,12,24,36,67,unspecified product
243,Tb427_070076200,1778,1422,26163,11864,unspecified product
244,Tb427_060005700,21,25,45,35,hypothetical protein  conserved
245,Tb427_000666500,138,102,2170,929,hypothetical protein  conserved
246,Tb427_030036400,57,43,630,439,unspecified product
247,Tb427_000769000,11,22,11,10,hypothetical protein  conserved
248,Tb427_080032500,5,6,34,22,unspecified product
249,Tb427_000832300,16,27,25,26,Adenylate and Guanylate cyclase catalytic domain containing protein  putative
250,Tb427_000840200,10,10,18,13,Retrotransposon hot spot protein  putative
251,Tb427_000011300,13,15,15,22,hypothetical protein  conserved
252,Tb427_110085300,19,19,16,22,hypothetical protein  conserved
253,Tb427_000699800,17,25,31,16,Adenylate and Guanylate cyclase catalytic domain containing protein  putative
254,Tb427_000707100,25,17,22,18,Retrotransposon hot spot protein  putative
255,Tb427_000348600,19,27,24,24,Retrotransposon hot spot protein  putative
256,Tb427_000817300,16,19,12,17,Retrotransposon hot spot protein  putative
257,Tb427_000766300,14,11,21,19,hypothetical protein  conserved
258,Tb427_070071200,14,24,22,23,Trypanosome variant surface glycoprotein (A-type)/Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative
259,Tb427_000694500,15,7,14,15,hypothetical protein  conserved
260,Tb427_000837700,15,25,21,13,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
261,Tb427_000334400,14,15,23,14,hypothetical protein  conserved
262,Tb427_000273900,21,12,24,28,hypothetical protein  conserved
263,Tb427_000742200,27,30,33,39,Retrotransposon hot spot protein  putative
264,Tb427_000689000,57,53,91,92,RNA polymerase Rpb2  domain 4  putative
265,Tb427_000753300,140,111,2192,969,hypothetical protein  conserved
266,Tb427_050028100,487,518,10264,10099,META domain containing protein  putative
267,Tb427_000798400,29,36,65,64,hypothetical protein  conserved
268,Tb427_060008500,369,387,3961,3011,hypothetical protein  conserved
269,Tb427_000661500,47,44,56,75,RNA polymerase Rpb2  domain 4  putative
270,Tb427_080033100,33,26,257,184,unspecified product
271,Tb427_000723600,29,36,33,29,Leucine Rich repeat  putative
272,Tb427_000808200,27,34,30,41,RNA polymerase Rpb2  domain 4  putative
273,Tb427_000682900,36,26,42,33,RNA polymerase Rpb2  domain 6  putative
274,Tb427_010027900,116,112,276,271,hypothetical protein  conserved
275,Tb427_000786300,38,27,55,46,Retrotransposon hot spot protein  putative
276,Tb427_110114400,20,18,51,49,unspecified product
277,Tb427_000808500,25,25,30,26,Retrotransposon hot spot protein  putative
278,Tb427_010025900,71,52,754,547,unspecified product
279,Tb427_000799000,22,23,18,25,Leucine Rich repeat  putative
280,Tb427_000663900,143,116,2202,955,hypothetical protein  conserved
281,Tb427_000790200,30,36,47,52,Retrotransposon hot spot protein  putative
282,Tb427_000679700,20,20,30,24,Retrotransposon hot spot protein  putative
283,Tb427_000727300,11,10,12,19,hypothetical protein  conserved
284,Tb427_000674000,19,18,15,12,Retrotransposon hot spot protein  putative
285,Tb427_000652300,14,14,23,16,hypothetical protein  conserved
286,Tb427_000544900,48,46,67,65,hypothetical protein  conserved
287,Tb427_110126000,40,48,77,66,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
288,Tb427_070073800,633,495,1399,1564,hypothetical protein  conserved
289,Tb427_070074900,363,395,3701,3652,BNR repeat-like domain/BNR/Asp-box repeat  putative
290,Tb427_000744600,95,114,184,232,Retrotransposon hot spot protein  putative
291,Tb427_000729100,1576,1152,18044,8861,unspecified product
292,Tb427_000348800,38,20,29,29,Retrotransposon hot spot protein  putative
293,Tb427_000828700,37,49,46,42,Leucine Rich repeat  putative
294,Tb427_000656700,20,23,20,26,Retrotransposon hot spot protein  putative
295,Tb427_060008800,25,28,94,75,hypothetical protein  conserved
296,Tb427_000671400,50,58,70,80,RNA polymerase Rpb2  domain 6  putative
297,Tb427_070085700,55,49,114,124,Retrotransposon hot spot protein  putative
298,Tb427_110015600,126,75,515,422,hypothetical protein  conserved
299,Tb427_000708900,21,16,21,13,Retrotransposon hot spot protein  putative
300,Tb427_100166000,113,84,231,213,unspecified product
301,Tb427_070071100,16,9,13,16,Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative
302,Tb427_030035400,41,30,53,48,hypothetical protein  conserved
303,Tb427_000223500,23,14,18,23,Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative
304,Tb427_000736500,45,45,62,62,Retrotransposon hot spot protein  putative
305,Tb427_000663700,62,51,669,401,unspecified product
306,Tb427_000499800,29,38,41,33,Leucine Rich repeat  putative
307,Tb427_000794200,15,13,17,14,Retrotransposon hot spot protein  putative
308,Tb427_050052700,1585,1347,4233,4624,GNS1/SUR4 family  putative
309,Tb427_000752500,129,142,2162,934,hypothetical protein  conserved
310,Tb427_000751800,168,107,2125,1027,hypothetical protein  conserved
311,Tb427_000656000,16,17,29,16,hypothetical protein  conserved
312,Tb427_070086200,39,42,57,43,RNA polymerase Rpb2  domain 4  putative
313,Tb427_000668600,22,26,68,50,hypothetical protein  conserved
314,Tb427_000670800,13,13,35,36,hypothetical protein  conserved
315,Tb427_000700200,40,51,44,44,hypothetical protein  conserved
316,Tb427_000785100,67,55,99,114,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative
317,Tb427_110136600,33,53,265,199,hypothetical protein  conserved
318,Tb427_000752900,925,776,11847,8116,unspecified product
319,Tb427_000730500,1308,1107,18017,12541,unspecified product
320,Tb427_000726500,15,10,13,18,Retrotransposon hot spot protein/Endonuclease-reverse transcriptase  putative
321,Tb427_000667500,155,120,2081,978,hypothetical protein  conserved
322,Tb427_000652800,35,29,37,33,Retrotransposon hot spot protein  putative
323,Tb427_000696500,50,52,65,76,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
324,Tb427_070075200,834,901,9851,10019,BNR repeat-like domain containing protein  putative
325,Tb427_000829500,25,22,27,45,hypothetical protein  conserved
326,Tb427_000725400,27,31,31,42,Leucine Rich repeat  putative
327,Tb427_000773600,16,15,20,20,hypothetical protein  conserved
328,Tb427_000759000,17,11,20,16,hypothetical protein  conserved
329,Tb427_000152700,18,12,19,16,hypothetical protein
330,Tb427_110112400,23,26,71,75,unspecified product
331,Tb427_110113600,18,24,45,56,unspecified product
332,Tb427_060008600,537,520,1792,1207,Trypanosomal VSG domain containing protein  putative
333,Tb427_000204800,44,42,40,68,RNA polymerase Rpb2  domain 6  putative
334,Tb427_000777700,16,11,15,18,hypothetical protein  conserved
335,Tb427_000666300,81,57,756,568,unspecified product
336,Tb427_110081600,841,840,16555,16763,Protein of unknown function (DUF423)  putative
337,Tb427_000127500,14,12,15,22,hypothetical protein  conserved
338,Tb427_000781900,13,22,13,18,Retrotransposon hot spot protein  putative
339,Tb427_110063700,228,269,608,620,hypothetical protein  conserved
340,Tb427_000715000,37,43,74,73,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)  putative
341,Tb427_000745200,117,119,209,223,Retrotransposon hot spot protein  putative
342,Tb427_000666100,1307,1088,17016,11949,unspecified product
343,Tb427_110116000,23,26,76,68,unspecified product
344,Tb427_110081700,918,885,17787,17851,Protein of unknown function (DUF423)  putative
345,Tb427_000653500,27,22,18,14,hypothetical protein  conserved
346,Tb427_000661700,24,23,26,27,Retrotransposon hot spot protein  putative
347,Tb427_000662300,44,37,44,51,RNA polymerase Rpb2  domain 4  putative
348,Tb427_000786600,30,18,39,18,Retrotransposon hot spot protein  putative
349,Tb427_100066200,231,271,3104,3211,hypothetical protein  conserved
350,Tb427_030039800,171,212,581,644,hypothetical protein  conserved
351,Tb427_000701500,34,35,46,43,Retrotransposon hot spot protein  putative
352,Tb427_000727600,26,19,17,26,Retrotransposon hot spot protein  putative
353,Tb427_000782300,74,63,102,102,RNA polymerase Rpb2  domain 4  putative
354,Tb427_000662600,15,24,14,8,Retrotransposon hot spot protein  putative
355,Tb427_000775100,49,38,41,37,Leucine Rich repeat  putative
356,Tb427_000112100,13,10,15,20,hypothetical protein  conserved
357,Tb427_070085600,27,32,23,38,Retrotransposon hot spot protein  putative
358,Tb427_000834100,20,9,16,12,Adenylate and Guanylate cyclase catalytic domain containing protein  putative
359,Tb427_100166200,63,74,124,113,unspecified product
360,Tb427_000754200,39,33,39,32,Leucine Rich repeat  putative
361,Tb427_100030200,1579,1888,26705,25431,lactate/malate dehydrogenase  NAD binding domain/lactate/malate dehydrogenase  alpha/beta C-terminal domain containing protein  putative
362,Tb427_000761400,27,35,25,29,Leucine Rich repeat  putative
363,Tb427_000654700,50,24,41,38,Retrotransposon hot spot protein  putative
364,Tb427_090037900,15,16,18,18,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
365,Tb427_000727900,23,27,46,38,Retrotransposon hot spot protein  putative
366,Tb427_020020700,1477,1555,3322,3648,hypothetical protein  conserved
367,Tb427_000771000,1600,1427,21729,15153,unspecified product
368,Tb427_000269800,47,69,124,120,Retrotransposon hot spot protein  putative
369,Tb427_000726400,22,24,42,35,RNase H  putative
370,Tb427_000204700,31,27,42,43,Retrotransposon hot spot protein  putative
371,Tb427_100047700,16,17,25,26,hypothetical protein
372,Tb427_000682800,24,27,48,65,hypothetical protein  conserved
373,Tb427_000499300,39,34,76,73,hypothetical protein  conserved
374,Tb427_000664900,1806,1474,23991,16909,unspecified product
375,Tb427_100134700,666,620,1238,1414,hypothetical protein  conserved
376,Tb427_060038900,50,54,110,124,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
377,Tb427_110087100,978,1069,10947,11325,BNR repeat-like domain containing protein  putative
378,Tb427_100166600,103,100,205,210,unspecified product
379,Tb427_010025700,1771,1502,23438,16776,unspecified product
380,Tb427_000253600,30,33,42,31,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
381,Tb427_000654100,34,21,27,23,Retrotransposon hot spot protein  putative
382,Tb427_010007400,297,339,689,763,hypothetical protein  conserved
383,Tb427_000656600,69,66,88,90,RNA polymerase Rpb2  domain 4  putative
384,Tb427_000544300,49,53,71,81,Retrotransposon hot spot protein  putative
385,Tb427_000676100,15,16,11,8,Leucine Rich repeat  putative
386,Tb427_000752100,1771,1529,23837,16598,unspecified product
387,Tb427_000269600,212,194,401,423,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative
388,Tb427_000269400,33,39,71,83,Retrotransposon hot spot protein  putative
389,Tb427_000663500,1720,1529,23141,16413,unspecified product
390,Tb427_000144900,194,172,2726,1154,hypothetical protein  conserved
